"","exchange","symbol","price","size","primary exchange"
"1034","Z","ACFN",6.9575,200,"Q"
"1037","B","ACG",8.39130434782609,4411,"N"
"1038","C","ACG",8.39,800,"N"
"1041","D1","ACG",8.39365700934579,195209,"N"
"1044","D2","ACG",8.39783333333333,73689,"N"
"1047","J","ACG",8.39545454545455,2600,"N"
"1048","K","ACG",8.39714285714286,14423,"N"
"1051","N","ACG",8.39811363636364,23919,"N"
"1053","P","ACG",8.39642857142857,6398,"N"
"1056","Q","ACG",8.40057692307692,4338,"N"
"1057","W","ACG",8.3875,800,"N"
"1060","Y","ACG",8.39466666666667,7867,"N"
"1062","Z","ACG",8.39392857142857,4400,"N"
"1065","B","ACGL",53.1245458484848,3300,"Q"
"1069","D1","ACGL",53.1327577474916,83394,"Q"
"1072","D2","ACGL",53.1602597402597,27827,"Q"
"1074","J","ACGL",53.133032704918,6500,"Q"
"1077","K","ACGL",53.1522144,7100,"Q"
"1080","P","ACGL",53.0927661170213,21810,"Q"
"1083","Q","ACGL",53.1034024135338,29312,"Q"
"1085","W","ACGL",53.2670002,1000,"Q"
"1086","X","ACGL",52.913334,300,"Q"
"1088","Y","ACGL",53.1548486666667,3700,"Q"
"1090","Z","ACGL",53.1119155649351,16900,"Q"
"1092","B","ACH",9.356,500,"N"
"1093","C","ACH",9.33,100,"N"
"1096","D1","ACH",9.34490819672131,11298,"N"
"1099","D2","ACH",9.33,1900,"N"
"1101","J","ACH",9.35214285714286,1406,"N"
"1102","K","ACH",9.35666666666667,400,"N"
"1104","N","ACH",9.34833333333333,6069,"N"
"1106","P","ACH",9.36763157894737,8286,"N"
"1107","Q","ACH",9.35666666666667,600,"N"
"1109","W","ACH",9.365,200,"N"
"1110","X","ACH",9.36333333333333,300,"N"
"1112","Y","ACH",9.375,200,"N"
"1114","Z","ACH",9.3690625,1600,"N"
"1117","B","ACHC",31.2527774444444,1800,"Q"
"1118","C","ACHC",31.09,198,"Q"
"1121","D1","ACHC",31.299114697479,122256,"Q"
"1124","D2","ACHC",31.3576158940397,31305,"Q"
"1126","J","ACHC",31.446,1500,"Q"
"1128","K","ACHC",31.378770704918,7534,"Q"
"1130","P","ACHC",31.42400005,10200,"Q"
"1133","Q","ACHC",31.329691382716,9193,"Q"
"1134","W","ACHC",31.2119994,500,"Q"
"1136","Y","ACHC",31.385,600,"Q"
"1139","Z","ACHC",31.403037162963,18209,"Q"
"1142","B","ACHN",7.0098,5559,"Q"
"1144","C","ACHN",6.9775,900,"Q"
"1147","D1","ACHN",7.01316700819672,114891,"Q"
"1150","D2","ACHN",7.00464373464373,252245,"Q"
"1152","J","ACHN",7.00256849315068,18292,"Q"
"1155","K","ACHN",7.00657142857143,43124,"Q"
"1158","P","ACHN",7.00719723183391,62381,"Q"
"1161","Q","ACHN",7.00506097560976,119895,"Q"
"1164","W","ACHN",7.0105,2800,"Q"
"1165","X","ACHN",6.994,700,"Q"
"1168","Y","ACHN",6.99916666666667,7352,"Q"
"1171","Z","ACHN",7.00497549019608,25700,"Q"
"1174","B","ACI",4.72182918149466,437228,"N"
"1176","C","ACI",4.71636363636364,6132,"N"
"1179","D1","ACI",4.72525287111867,2806066,"N"
"1182","D2","ACI",4.72249631159634,1510869,"N"
"1185","J","ACI",4.71893557422969,144964,"N"
"1188","K","ACI",4.7208676703645,473544,"N"
"1191","N","ACI",4.7187381443299,796298,"N"
"1194","P","ACI",4.72537743190661,377888,"N"
"1197","Q","ACI",4.71967311715481,632334,"N"
"1200","W","ACI",4.72955555555556,4700,"N"
"1203","X","ACI",4.7324,21700,"N"
"1206","Y","ACI",4.71837041884817,150813,"N"
"1209","Z","ACI",4.72119513484929,457255,"N"
"1210","D1","ACIM",55.034,732,"P"
"1212","B","ACIW",46.096579,3800,"Q"
"1214","C","ACIW",46.189999,100,"Q"
"1216","D1","ACIW",46.0795020503597,14446,"Q"
"1218","D2","ACIW",46.0373333333333,32586,"Q"
"1219","J","ACIW",46.0980768461538,1400,"Q"
"1221","K","ACIW",46.1057818125,3500,"Q"
"1223","P","ACIW",46.09725035,6100,"Q"
"1225","Q","ACIW",46.1125169403973,15400,"Q"
"1226","W","ACIW",46.1433336666667,300,"Q"
"1227","X","ACIW",46.11500075,400,"Q"
"1229","Y","ACIW",46.1235292941176,1700,"Q"
"1231","Z","ACIW",46.1030856595745,5000,"Q"
"1233","B","ACLS",1.23,300,"Q"
"1236","D1","ACLS",1.23370680628272,24524,"Q"
"1238","D2","ACLS",1.23575757575758,16369,"Q"
