"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"1213","DVN","D1","Early",1.6747451410061e-06,55.3430487469929,0.0295118006264291,8900,"N"
"1216","DVN","D2","Early",0.041306270642227,55.3358552482691,0.0438207990667793,22858,"N"
"1255","EBAY","D1","Early",2.5634765625e-06,56.2501802978516,0.0124404907226562,96857,"Q"
"1258","EBAY","D2","Early",0.0162262390707141,56.2995284748969,0.0141683988482039,164034,"Q"
"1294","EMC","D1","Early",1.76778653772866e-06,23.6733450806515,0.0100349665518837,61280,"N"
"1297","EMC","D2","Early",0.0111326816398349,23.6751935890963,0.0101942537671926,85987,"N"
"1335","EMR","D1","Early",1.27156575520833e-06,55.3111110263401,0.0244441562228733,1300,"N"
"1338","EMR","D2","Early",0.0419310744927854,55.2946102375887,0.0477547937509965,10435,"N"
"1377","EXC","D1","Early",2.22524007161458e-06,34.4141674041748,0.0133339564005534,1600,"N"
"1380","EXC","D2","Early",0.0176000180451766,34.4202826126762,0.0171739329462466,11564,"N"
"1419","F","D1","Early",1.20214118811363e-06,13.0185051950915,0.00996147170377417,54206,"N"
"1422","F","D2","Early",0.0102543152099827,13.0405157904891,0.00996435522891731,965141,"N"
"1461","FCX","D1","Early",1.3488432320442e-06,32.139530297801,0.0130947808534401,27905,"N"
"1464","FCX","D2","Early",0.0150138427471292,32.1049671600605,0.0117242845995673,174953,"N"
"1502","FDX","D1","Early",1.08991350446429e-06,97.6678592136928,0.09857177734375,3502,"N"
"1505","FDX","D2","Early",0.0680945054540094,97.7969410734357,0.0733965028007075,7111,"N"
"1540","GD","D1","Early",3.4455330141129e-06,68.3753226495558,0.0293539724042339,4400,"N"
"1543","GD","D2","Early",0.031126945249496,68.3980748986685,0.0349457443401378,19532,"N"
"1580","GE","D1","Early",1.68649773848684e-06,23.1610002618087,0.0102106997841283,23575,"N"
"1583","GE","D2","Early",0.0107593183164243,23.1665707038193,0.0100795352269733,159586,"N"
"1623","GILD","D1","Early",5.09904257616206e-06,48.2410819662276,0.0209547263294009,35028,"Q"
"1626","GILD","D2","Early",0.0214377340869369,48.2301067191864,0.0211454284525363,131881,"Q"
"1662","GM","D1","Early",1.48349338107639e-06,27.9788384871049,0.0112122237080275,11500,"N"
"1665","GM","D2","Early",0.0158229741183194,27.9689075643366,0.0135910294272683,57355,"N"
"1702","GOOG","D1","Early",3.75600961538462e-05,807.357060359074,0.317689553285256,5525,"Q"
"1705","GOOG","D2","Early",0.301864687337915,807.445275777603,0.341246292304201,38791,"Q"
"1735","GS","D1","Early",8.41864224137931e-06,145.334309545057,0.0610330515894397,3200,"N"
"1738","GS","D2","Early",0.0617364447213075,145.462837116601,0.0682064449840597,51356,"N"
"1773","HAL","D1","Early",1.73395330255682e-06,39.8499991677024,0.010909687389027,1400,"N"
"1776","HAL","D2","Early",0.0171482180371697,39.9310112705937,0.0135801103379991,33945,"N"
"1813","HD","D1","Early",5.59488932291667e-06,70.483390045166,0.014776611328125,12784,"N"
"1816","HD","D2","Early",0.0177113979677611,70.4337529291081,0.0175944943971272,65559,"N"
"1851","HON","D1","Early",3.07295057508681e-06,74.6170835494995,0.0388896730211046,8775,"N"
"1854","HON","D2","Early",0.0359745372425426,74.6160455183549,0.0433635364879261,14453,"N"
"1891","HPQ","D1","Early",1.79515165441176e-06,22.2928618780628,0.0106561065259562,116451,"N"
"1894","HPQ","D2","Early",0.0154129088800818,22.2957330609327,0.0120727224858897,1355685,"N"
"1932","IBM","D1","Early",7.62939453125e-06,213.073749542236,0.117500305175781,400,"N"
"1935","IBM","D2","Early",0.108025421967378,213.093153876227,0.124728434794658,12463,"N"
"1975","INTC","D1","Early",1.70144167813388e-06,21.4959943402897,0.00892065871845592,51847,"Q"
"1978","INTC","D2","Early",0.0112460107028651,21.5026347430146,0.0098461610596387,241675,"Q"
"2016","JNJ","D1","Early",5.28188852163462e-06,81.9651705750033,0.0120519002278646,30840,"N"
"2019","JNJ","D2","Early",0.0162557874407087,81.9556668417794,0.0133341653006417,85970,"N"
"2057","JPM","D1","Early",2.51153981463509e-06,48.0574535346179,0.00944049906286394,29672,"N"
"2060","JPM","D2","Early",0.0164182407339824,48.0381708587568,0.0105668195744151,229077,"N"
"2098","KO","D1","Early",1.62327543218085e-06,40.524149306277,0.0100005129550366,14719,"N"
"2101","KO","D2","Early",0.0135417351355919,40.5352293454684,0.0113077897291917,52296,"N"
"2139","LLY","D1","Early",2.86102294921875e-06,56.8409994125366,0.0149999618530273,2495,"N"
"2142","LLY","D2","Early",0.0168917179107666,56.7968750794729,0.0145831902821859,8991,"N"
"2179","LMT","D1","Early",4.35965401785714e-06,94.8871438162667,0.0571441650390625,1300,"N"
"2182","LMT","D2","Early",0.0674939623066023,94.9540218278474,0.075293597053079,7583,"N"
"2218","LOW","D1","Early",1.94793051861702e-06,37.8192554230386,0.0151065258269614,6200,"N"
"2221","LOW","D2","Early",0.0205323772065958,37.8416051196445,0.0166243777912893,39793,"N"
"2255","MA","D1","Early",2.03450520833333e-05,541.136678059896,0.606669108072917,300,"N"
"2258","MA","D2","Early",0.472986036731351,541.264451549899,0.668379260647681,8984,"N"
"2290","MCD","D1","Early",1.03759765625e-05,99.3876043701172,0.044798583984375,3420,"N"
"2293","MCD","D2","Early",0.0483652098566039,99.373056395441,0.050854739979801,15504,"N"
"2332","MDLZ","D1","Early",1.47501627604167e-06,30.7671333821615,0.0113335164388021,12536,"Q"
"2335","MDLZ","D2","Early",0.0152308917558823,30.7693105835737,0.0116243157134831,241664,"Q"
"2367","MDT","D1","Early",1.68295467601103e-06,46.9189701080322,0.0150006238151999,4100,"N"
"2370","MDT","D2","Early",0.0274937947591146,46.9040652766372,0.0312121998180043,12160,"N"
"2405","MET","D1","Early",2.20078688401442e-06,38.0015384967511,0.0261537111722506,2900,"N"
"2408","MET","D2","Early",0.0304070869378284,38.016624754509,0.0302656393135543,21503,"N"
"2446","MMM","D1","Early",4.76837158203125e-06,105.922917683919,0.0616668065388997,2400,"N"
"2449","MMM","D2","Early",0.0411009003844442,105.927737561962,0.059619855277146,12771,"N"
"2486","MO","D1","Early",1.32047213040865e-06,34.5284616396977,0.0101929444533128,101168,"N"
"2489","MO","D2","Early",0.0106995437318916,34.520500536786,0.00973571373137417,40738,"N"
"2527","MON","D1","Early",4.95415229301948e-06,105.718636252663,0.0702593914874188,9940,"N"
"2530","MON","D2","Early",0.0689281268711508,105.830288796529,0.0686851000263743,17403,"N"
"2566","MRK","D1","Early",2.37129830025338e-06,44.5829053311735,0.0125673654917124,14375,"N"
