"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"662","C","D2","Midday",0.0101722718017484,44.1707260214589,0.00989632836274301,3619092,"N"
"701","CAT","D1","Midday",6.02146898418186e-06,85.0767276938383,0.0127872377449856,276665,"N"
"704","CAT","D2","Midday",0.0122397268954027,85.0149524800144,0.0125024253255065,1654213,"N"
"741","CL","D1","Midday",3.78334358946918e-06,118.623794597469,0.0301643476094285,50810,"N"
"744","CL","D2","Midday",0.0315909787228233,118.613593221966,0.0372893534208599,263302,"N"
"781","CMCSA","D1","Midday",4.3032359491828e-06,42.1948676372598,0.00933790011883757,779581,"Q"
"784","CMCSA","D2","Midday",0.0103148446092253,42.1899019111472,0.00990948997723099,2626469,"Q"
"819","COF","D1","Midday",2.30134926637516e-06,54.3864910465513,0.00991172814625242,215921,"N"
"822","COF","D2","Midday",0.0120470914540605,54.3581011265114,0.0101922475224765,456156,"N"
"860","COP","D1","Midday",2.97954316773167e-06,60.1626195356336,0.0097470614262399,211112,"N"
"863","COP","D2","Midday",0.00997528694140257,60.1752956858348,0.00988926717975096,991064,"N"
"896","COST","D1","Midday",5.05562288215361e-06,107.234833522015,0.0199693886630506,50759,"Q"
"899","COST","D2","Midday",0.0231153981484483,107.148816912006,0.025414948311749,267298,"Q"
"934","CSCO","D1","Midday",1.74265466620015e-06,21.1381805220471,0.00966364895558872,1916936,"Q"
"937","CSCO","D2","Midday",0.00946624914282795,21.1304971322491,0.00994834094449939,5916280,"Q"
"975","CVS","D1","Midday",3.19838018502708e-06,55.1075928230304,0.00983523828377995,321875,"N"
"978","CVS","D2","Midday",0.0103930422826977,55.1028510713417,0.00996333362496443,1969370,"N"
"1015","CVX","D1","Midday",5.42619553866601e-06,119.253591890587,0.013330766352012,227447,"N"
"1018","CVX","D2","Midday",0.0140804195757827,119.256459230586,0.0140196229644597,800310,"N"
"1055","DD","D1","Midday",2.58957739947665e-06,49.0955202535134,0.00945551193310917,434035,"N"
"1058","DD","D2","Midday",0.0110461787173623,49.1040056293172,0.00992298126220703,1030386,"N"
"1094","DELL","D1","Midday",8.273855479741e-07,14.2301674042168,0.00947797640986826,1648652,"Q"
"1097","DELL","D2","Midday",0.00964176121766005,14.2314884207113,0.00998816887537638,5707890,"Q"
"1135","DIS","D1","Midday",2.34397060899849e-06,57.284552157233,0.0096989465867796,375038,"N"
"1138","DIS","D2","Midday",0.0102538230934511,57.2640147084433,0.00991055811146302,1043816,"N"
"1176","DOW","D1","Midday",1.78013274918741e-06,31.1476631529296,0.00950560729895065,388527,"N"
"1179","DOW","D2","Midday",0.010231930961646,31.1956077822212,0.00985425461601354,1475365,"N"
"1215","DVN","D1","Midday",2.63154146316694e-06,55.0008978307463,0.0126663839946779,218436,"N"
"1218","DVN","D2","Midday",0.0152148808901611,54.9896723078842,0.0147447602839764,695916,"N"
"1257","EBAY","D1","Midday",2.09186331282971e-06,56.3908398859009,0.00983573744217969,886793,"Q"
"1260","EBAY","D2","Midday",0.011287870092893,56.3850105532768,0.0101080586203272,3550266,"Q"
"1296","EMC","D1","Midday",1.92979497782547e-06,23.7662560216928,0.00963141534970101,770716,"N"
"1299","EMC","D2","Midday",0.00928118719586454,23.7718020711991,0.00995058784318283,2157916,"N"
"1337","EMR","D1","Midday",5.34313065665109e-06,55.0374282555921,0.010279336145946,123912,"N"
"1340","EMR","D2","Midday",0.0104135583948206,55.0535598090377,0.010700183910328,483041,"N"
"1379","EXC","D1","Midday",3.12726815986811e-06,34.5950276493247,0.00962674294978408,234146,"N"
"1382","EXC","D2","Midday",0.00960441997210104,34.5968041856107,0.00995967295733409,1035339,"N"
"1421","F","D1","Midday",7.57432265124606e-07,13.0937460997215,0.00954981704738804,2038140,"N"
"1424","F","D2","Midday",0.00917032839983878,13.0910832711696,0.00995730827075725,7392553,"N"
"1463","FCX","D1","Midday",3.28612370689351e-06,32.0940237562652,0.00912297698947017,475742,"N"
"1466","FCX","D2","Midday",0.0100087932556305,32.091114799243,0.00993232754243586,2562470,"N"
"1504","FDX","D1","Midday",4.86956531978497e-06,97.5088984008004,0.0219456099237276,75045,"N"
"1507","FDX","D2","Midday",0.0228009138219958,97.4570027739804,0.0240577380352285,302441,"N"
"1542","GD","D1","Midday",5.19365053182981e-06,67.4425590939805,0.0137174756421695,301479,"N"
"1545","GD","D2","Midday",0.0140393183609496,67.3567824194558,0.0136530352491537,671094,"N"
"1582","GE","D1","Midday",1.81372669492902e-06,23.3014354898212,0.00986390661280881,2611241,"N"
"1585","GE","D2","Midday",0.00896120750666344,23.2946601557935,0.00998373982573507,6546623,"N"
"1625","GILD","D1","Midday",2.89912036426194e-06,48.185510271747,0.0085710436928462,739323,"Q"
"1628","GILD","D2","Midday",0.0102647670893312,48.1843360282763,0.0100274021807785,5153853,"Q"
"1664","GM","D1","Midday",1.84489959775572e-06,27.9469826222997,0.00956567461832978,871477,"N"
"1667","GM","D2","Midday",0.0116022320383603,27.875930654978,0.00995264485939262,2684557,"N"
"1704","GOOG","D1","Midday",2.84830729166667e-05,811.767625488281,0.166506022135417,46787,"Q"
"1707","GOOG","D2","Midday",0.168884413844099,810.88810173254,0.195959609156599,498042,"Q"
"1737","GS","D1","Midday",8.21457240412446e-06,146.54545535848,0.0311723590414707,110437,"N"
"1740","GS","D2","Midday",0.0394366286191796,146.330747859175,0.0422760981316015,721084,"N"
"1775","HAL","D1","Midday",4.54582619683087e-06,39.9619702516824,0.00976430127182982,209110,"N"
"1778","HAL","D2","Midday",0.0107797499550972,39.9876951312903,0.0100242224448201,1056600,"N"
"1815","HD","D1","Midday",8.11420555497492e-06,70.7211818631277,0.0097211414622091,143115,"N"
"1818","HD","D2","Midday",0.0102909228315197,70.7160263210652,0.0103477764353331,1277029,"N"
"1853","HON","D1","Midday",5.47875721672152e-06,74.3354905379993,0.0103265015147136,345613,"N"
"1856","HON","D2","Midday",0.0123551172969207,74.3803276281986,0.0112844364254467,652509,"N"
"1893","HPQ","D1","Midday",1.81019714660701e-06,22.0120698086618,0.00957031341852314,2280271,"N"
"1896","HPQ","D2","Midday",0.00996225968856572,22.0175395363594,0.00992345164769397,9900476,"N"
"1934","IBM","D1","Midday",1.00643076795213e-05,214.166571650945,0.0268086823447658,52518,"N"
"1937","IBM","D2","Midday",0.0378276609024912,214.088298783212,0.0397217516629201,378798,"N"
"1977","INTC","D1","Midday",1.79371589043394e-06,21.462296330639,0.00975389126675,1436600,"Q"
"1980","INTC","D2","Midday",0.00929669763187359,21.4672729222735,0.00998394064223744,6493218,"Q"
"2018","JNJ","D1","Midday",7.7704366485517e-06,82.3572296313141,0.0091360031482175,494071,"N"
"2021","JNJ","D2","Midday",0.0093440522318301,82.3746782479079,0.00988744963770327,2126981,"N"
"2059","JPM","D1","Midday",4.63578595018084e-06,48.1705242620023,0.00922728964537067,577178,"N"
"2062","JPM","D2","Midday",0.0101100097301836,48.1624826517505,0.00991451685876581,3662714,"N"
"2100","KO","D1","Midday",3.58532479338324e-06,40.7124451640335,0.00957901761462834,1124097,"N"
"2103","KO","D2","Midday",0.00961145749087013,40.7095729783098,0.00994067767132054,2083995,"N"
"2141","LLY","D1","Midday",3.1738938484274e-06,56.6171500650311,0.00982028224531559,194961,"N"
"2144","LLY","D2","Midday",0.0101903315952846,56.6503211696564,0.00996170407249814,598280,"N"
"2181","LMT","D1","Midday",4.83137056876424e-06,95.1357514331444,0.0182008851905075,59422,"N"
"2184","LMT","D2","Midday",0.0191015402983159,95.237567339266,0.0193813496816668,258571,"N"
"2220","LOW","D1","Midday",1.95475223642962e-06,37.9352191523411,0.00906477564877641,293686,"N"
"2223","LOW","D2","Midday",0.011112174181552,37.9295419898177,0.009772145586777,1018885,"N"
"2257","MA","D1","Midday",3.3019018954918e-05,541.254177406186,0.290658419249488,7743,"N"
