"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"599","BRK.B","Z","Midday",0.00842961200549011,104.862118323463,0.0138043901100246,121813,"N"
"605","C","B","Midday",0.00988665248449396,44.163204592956,0.00995036765468695,182204,"N"
"607","C","C","Midday",0.00880895342145647,44.1899998074486,0.00880895342145647,7200,"N"
"613","C","J","Midday",0.00936575745792488,44.1728527445934,0.00960835369248944,423416,"N"
"616","C","K","Midday",0.00836296953658347,44.1826925802594,0.00867334786290474,878281,"N"
"619","C","N","Midday",0.00919226185329788,44.1763747451209,0.00936002916795859,2122770,"N"
"622","C","P","Midday",0.00835900265381282,44.1665736213301,0.00964820901483969,1117997,"N"
"625","C","Q","Midday",0.00806367499735366,44.1719389970304,0.00954227863521034,1200657,"N"
"628","C","W","Midday",0.00987620412567515,44.1464197135266,0.00987620412567515,21638,"N"
"631","C","X","Midday",0.00949535947857481,44.2009091232762,0.00969734577217487,16004,"N"
"634","C","Y","Midday",0.00972278663801898,44.1687285884267,0.00981963575169345,154561,"N"
"637","C","Z","Midday",0.00772595250649573,44.1736786997275,0.0092238698195034,983128,"N"
"643","CAT","B","Midday",0.0122600059724797,85.0094353196311,0.0142933904787915,20470,"N"
"646","CAT","C","Midday",0.0123989868164063,84.9668011474609,0.0107992553710938,3335,"N"
"652","CAT","J","Midday",0.0100602288369393,85.0355764734105,0.011868865542099,54952,"N"
"655","CAT","K","Midday",0.00851208053472388,85.0574237444929,0.0106260518081316,266907,"N"
"658","CAT","N","Midday",0.00969755435418226,85.0399358339856,0.0120358560919456,233063,"N"
"661","CAT","P","Midday",0.00904553178427876,85.0109225387473,0.0117326869637913,300277,"N"
"664","CAT","Q","Midday",0.00897948504888523,85.0146582496633,0.0116643935669879,336506,"N"
"666","CAT","W","Midday",0.0113996887207031,85.0073999023437,0.0137995910644531,5700,"N"
"668","CAT","X","Midday",0.01,85.0410000610352,0.011199951171875,2600,"N"
"671","CAT","Y","Midday",0.0105424793109015,85.0168159919056,0.0124118670538512,41897,"N"
"674","CAT","Z","Midday",0.00842498824879516,85.0256572834496,0.0111799688816427,181826,"N"
"680","CL","B","Midday",0.0298878530438027,118.608876431926,0.0402245682277036,9899,"N"
"683","CL","C","Midday",0.0557163783482143,118.640000479562,0.075714111328125,700,"N"
"689","CL","J","Midday",0.0295235770089286,118.618810017904,0.0395224434988839,2824,"N"
"692","CL","K","Midday",0.0115240036123215,118.665577356587,0.0187958101089815,48506,"N"
"695","CL","N","Midday",0.0221495995154748,118.616805633269,0.0294342558847833,70875,"N"
"698","CL","P","Midday",0.0176519854315396,118.621702720379,0.0258839705894733,55391,"N"
"701","CL","Q","Midday",0.0157395492900502,118.604148019444,0.0261360731991855,44388,"N"
"703","CL","W","Midday",0.0323081383338341,118.679230323205,0.0399997417743389,1300,"N"
"704","CL","X","Midday",0.0199966430664062,118.720001220703,0.0400009155273438,100,"N"
"707","CL","Y","Midday",0.0303447328764817,118.674654861976,0.0334477917901401,6129,"N"
"710","CL","Z","Midday",0.0186947694758779,118.64651219214,0.0262886650373846,37818,"N"
"714","CMCSA","A","Midday",0.0100000554865057,42.1890907287598,0.0100000554865057,3000,"Q"
"717","CMCSA","B","Midday",0.009371337890625,42.2103258884975,0.00961122349330357,99379,"Q"
"720","CMCSA","C","Midday",0.0100007898667279,42.1867649975945,0.00941242891199449,4000,"Q"
"726","CMCSA","J","Midday",0.0089346352159344,42.1995582031689,0.0092359766971579,417151,"Q"
"729","CMCSA","K","Midday",0.0072870189708624,42.1925562645712,0.00748556269692054,373613,"Q"
"730","CMCSA","M","Midday",0.0100010463169643,42.1100011553083,0.0100010463169643,700,"Q"
"733","CMCSA","P","Midday",0.00533705146335135,42.1644920141844,0.00571051909507504,678535,"Q"
"736","CMCSA","Q","Midday",0.00751698718064145,42.192444300168,0.00793891567549874,1039319,"Q"
"738","CMCSA","W","Midday",0.0100002833775112,42.163714490618,0.0100002833775112,4300,"Q"
"741","CMCSA","X","Midday",0.0100000909034242,42.188851198237,0.00957450055061503,53100,"Q"
"744","CMCSA","Y","Midday",0.00962376383553564,42.193816531021,0.00982284545898438,117345,"Q"
"747","CMCSA","Z","Midday",0.00746574617839946,42.1984026228266,0.00794821024648132,588481,"Q"
"753","COF","B","Midday",0.00823601554421818,54.3934189572054,0.00992676791022806,16491,"N"
"755","COF","C","Midday",0.0109521775018601,54.3745237077986,0.00952366420200893,3928,"N"
"761","COF","J","Midday",0.00908214381483735,54.3655738205206,0.00973782148517546,36126,"N"
"764","COF","K","Midday",0.00922558304464547,54.2835581668706,0.00915872143489496,104863,"N"
"767","COF","N","Midday",0.00880962345465974,54.3218430710215,0.00984200179164996,206464,"N"
"770","COF","P","Midday",0.0078576389624148,54.2549489858199,0.0101531816988575,105669,"N"
"773","COF","Q","Midday",0.00845637341447393,54.2863494603667,0.0105984526291213,270764,"N"
"776","COF","W","Midday",0.0110253554124099,54.3912823016827,0.0110253554124099,3900,"N"
"778","COF","X","Midday",0.00600051879882812,54.3370002746582,0.0120002746582031,700,"N"
"781","COF","Y","Midday",0.0096101528260766,54.3081951234399,0.010000368443931,24945,"N"
"784","COF","Z","Midday",0.00865233366089806,54.284654043443,0.0103536925518714,293086,"N"
"790","COP","B","Midday",0.00947809634001359,60.1411740178647,0.00991277280061141,12597,"N"
"793","COP","C","Midday",0.0095243908110119,60.1659520467122,0.0100003197079613,4000,"N"
"799","COP","J","Midday",0.00878374426214545,60.1705742827407,0.00957192601384343,50431,"N"
"802","COP","K","Midday",0.00855466652820461,60.1643600509065,0.0083887814345518,124988,"N"
"805","COP","N","Midday",0.0086810447774271,60.1896216746792,0.00922411558815395,269577,"N"
"808","COP","P","Midday",0.00775081914888989,60.2018001672508,0.00953964879093298,183144,"N"
"811","COP","Q","Midday",0.0084609102319788,60.1768025623428,0.0103297366036309,226457,"N"
"812","COP","W","Midday",0.00999959309895833,60.2300001780192,0.00999959309895833,1200,"N"
"813","COP","X","Midday",0.0106251239776611,60.2462496757507,0.0106251239776611,1600,"N"
"816","COP","Y","Midday",0.00949300598988335,60.1837095796787,0.00981555007020449,26079,"N"
"819","COP","Z","Midday",0.00821642979882697,60.2159656855881,0.00955106010820059,220434,"N"
"825","COST","B","Midday",0.0259620666503906,107.134576826829,0.0303465623121995,34842,"Q"
"826","COST","C","Midday",0.0200042724609375,107.034999847412,0.0349998474121094,400,"Q"
"832","COST","J","Midday",0.0175590694230487,107.137628976168,0.0226762798470511,23749,"Q"
"835","COST","K","Midday",0.0121633021527736,107.196013402755,0.0204441998455976,65122,"Q"
"838","COST","P","Midday",0.0130958906034144,107.286821446768,0.0151226811292695,90008,"Q"
"841","COST","Q","Midday",0.0124434594519914,107.19897819805,0.0149456978997412,124739,"Q"
"846","COST","Y","Midday",0.0208988832623771,107.164999715398,0.0264043915137816,8900,"Q"
"849","COST","Z","Midday",0.0126645368451044,107.157579192147,0.0175263160882994,106165,"Q"
"855","CSCO","A","Midday",0.00802262085305769,21.1369830632614,0.00960464262019443,122651,"Q"
"858","CSCO","B","Midday",0.00876038196613025,21.1402154386529,0.00973675455300645,400803,"Q"
