Row Labels;B;C;D;J;K;M;P;Q;W;X;Y;Z
PDP;;;;;152;;100;;;;;100
PEJ;;;170;;;;100;;;;;
PERM;;;;;;;200;;;;;
PEY;;;1934;;;;;;;;;
PFF;;;24324;300;;;2108;400;;;;1200
PFI;;;;;;;200;;;;;
PFM;;;600;100;800;;;;200;;;
PGF;;;1800;;;;2204;;;;300;
PGJ;;;4342;200;500;;2671;;;;;100
PGX;800;;30827;400;1500;;4500;12600;;;5000;4500
PHB;;;1620;;;;426;;;;;
PHO;;;4669;200;100;;3761;;;;;
PHYS;100;;44294;700;500;;4500;;;;300;
PID;;;800;;465;;5000;;;;300;300
PIE;;;8593;500;;;424;;;;;
PIN;;;13080;;;;5100;;;;;
PIO;200;;5800;;900;;;100;;;;2435
PIZ;;;4135;;;;2908;;;;;2000
PJP;;;3311;;;;2127;800;;;;
PKB;;;300;;;;;;;;;
PKW;200;;1034;;;;300;;;;;100
PLND;;;905;;;;100;;;;;
PPH;;;200;;;;390;;;;;
PPLT;;;510;;;;;259;;;;
PRF;;;;;;;1050;;;;;
PRN;;;2600;;300;;700;;;;100;
PSK;;;3570;;;;500;;;;;
PSL;;;;;;;100;;;;;
PSLV;2000;;25866;;1200;;3200;700;;;1100;8885
PSP;;;5482;;;;;;;;;
PSQ;11200;;56832;1200;2600;;2800;4264;;;204;4800
PTF;;;;;;;;;;;;500
PWB;;;1235;;;;1800;;;;;
PXE;;;;;100;;;;;;;
PXH;;;4121;;;;2300;100;;;100;800
PXJ;;;2250;;4000;;225;;;;;
PXN;;;100;;;;133;;;;;
PXQ;;;;;;;500;;;;;
PXSV;;;;;;;1500;;;;;
PYZ;;;100;;;;;;;;;
PZA;;;3500;;800;;271;;;;;
PZI;;;;;;;;100;;;;100
QAI;;;946;;;;;;;;;
QID;700;;96639;100;4600;;9100;15200;;;2500;6330
QLD;255;;24932;500;700;;4700;5475;;;;3300
QLTA;;;100;;;;;;;;;
RBL;;;;;;;100;;;;;
REM;;;12105;1000;600;;3073;200;;;;
REMX;;;608;;;;;;;;;
REW;;;;;;;;300;;;;
REZ;;;655;;;;;;;;;
