"","A","B","C","D","J","K","M","N","P","Q","W","X","Y","Z"
"LL",0,75581,1003,161138,6900,82743,0,35250,44891,54645,1000,1800,3000,59183
"LLEN",0,1200,0,254212,1300,29286,0,0,19775,28150,0,0,0,5600
"LLL",0,15800,100,87056,7888,16059,0,29173,54428,30156,1900,500,1500,8900
"LLNW",0,1887,0,122700,1000,2177,0,0,2600,15000,100,0,900,4200
"LLTC",0,19600,0,234049,13869,76872,0,0,86268,197432,9300,300,1700,140506
"LLY",0,68781,600,810741,41845,88614,0,226978,117385,142223,15862,14000,10341,106481
"LM",0,14600,0,226023,25524,56053,0,86339,50237,105119,3041,8520,4200,59645
"LMAT",0,0,0,45255,500,0,0,0,0,900,0,0,0,100
"LMCA",0,5500,200,27797,5574,5901,0,0,8300,14782,300,100,1400,7639
"LMIA",0,200,0,80960,100,600,0,0,1000,2400,0,0,0,297
"LMNR",0,0,0,5200,100,2000,0,0,1000,1625,0,0,200,100
"LMNX",0,1000,0,10161,0,3467,0,0,6759,8849,100,0,5952,1000
"LMOS",0,800,0,26292,500,3337,0,0,3000,6300,100,0,100,600
"LMT",0,44995,400,436836,20257,39146,0,151878,117057,109567,200,1500,12420,35499
"LNBB",0,0,0,6000,0,1400,0,0,500,0,0,0,0,0
"LNC",0,16594,4000,621602,24400,133217,0,249955,116475,172219,10300,4400,5800,108686
"LNCE",0,1300,100,24736,1400,2876,0,0,5749,10800,100,0,800,3000
"LNCO",0,2100,0,266763,200,51800,0,0,17300,12030,0,0,2538,9442
"LNDC",0,1200,0,37478,749,28791,0,0,6100,20834,600,0,2100,3300
"LNG",51088,14168,1800,1120071,9116,94078,0,0,96214,215711,3800,9300,4900,111804
"LNKD",0,15302,1300,649878,9662,44759,0,73262,164980,70923,200,500,5545,35423
"LNN",0,3700,0,33968,1800,14147,0,13659,4720,6237,0,500,2600,1700
"LNT",0,10072,100,125400,6300,14626,0,47832,122135,21025,2200,200,10700,32806
"LO",0,23819,2000,530400,20002,74552,0,170916,101366,95833,12900,9200,4400,131782
"LOAN",0,0,0,1100,0,100,0,0,100,0,0,0,0,106
"LOCK",0,4900,0,73628,7597,2500,0,5508,24791,7738,0,0,558,51200
"LOCM",0,0,0,7900,0,7600,0,0,600,100,0,0,0,300
"LODE",700,100,0,66199,1300,10000,0,0,6800,20350,0,300,0,7540
"LOGI",0,2500,0,182852,3500,5204,0,0,16400,14785,2800,100,1300,13236
"LOGM",0,2742,0,38351,1600,28968,0,0,14948,38326,400,100,7700,5000
"LOJN",0,0,0,1900,0,0,0,0,0,800,0,0,0,0
"LON",333,0,0,0,0,0,0,0,0,0,0,0,0,0
"LONG",0,700,0,16916,300,7537,0,0,3600,862,100,0,100,500
"LOOK",0,0,0,2208,0,300,0,0,200,640,0,0,0,0
"LOPE",0,1100,0,70374,2800,12769,0,0,14508,32728,600,0,3200,13268
"LOR",0,0,0,7014,0,500,0,200,200,0,0,0,0,0
"LORL",0,200,0,5600,200,100,0,0,1000,3278,0,0,200,600
"LOV",700,0,0,12384,0,0,0,0,600,200,0,0,200,200
"LOW",0,61513,644,1996882,161771,243769,0,287374,192215,401250,18323,79210,19953,240688
"LPDX",0,0,0,44058,0,2800,0,0,200,2909,0,0,0,900
"LPHI",0,400,0,9465,0,367,0,0,334,400,0,0,0,100
"LPI",0,8298,400,112497,7900,8906,0,34487,21999,18005,1300,1100,6400,7724
"LPL",0,12357,800,329562,13325,29600,0,118979,80178,63155,3600,2300,6400,55890
"LPLA",0,10210,200,139939,12244,10069,0,0,25922,40180,3200,500,4314,16378
"LPLT",0,0,0,540,0,0,0,0,0,0,0,0,0,0
"LPNT",0,54221,100,119789,5090,45652,0,0,38365,39504,800,400,1735,20326
"LPR",0,300,0,149111,3000,40114,0,1400,102066,5562,0,0,532,11000
"LPS",0,6200,200,80948,3401,15326,0,35092,33807,27400,6000,1400,2600,15566
"LPSN",0,15000,300,36173,1600,7227,0,0,12857,40705,100,0,1800,4500
"LPTH",0,0,0,3637,0,0,0,0,0,0,0,0,0,0
"LPTN",0,200,0,13564,100,5300,0,0,6400,4200,0,0,0,1100
"LPX",0,22100,7000,488914,55033,81912,0,355588,216672,227603,14800,7700,16521,91935
"LQD",0,3300,0,626925,8195,19377,0,0,86914,41681,400,387,8467,28291
"LQDT",0,18652,700,140963,6515,46299,20000,0,32433,114383,1100,0,2000,11785
"LRAD",0,200,0,47094,0,0,0,0,0,900,0,0,0,0
"LRCX",0,7722,500,312532,40394,39320,0,0,97951,179708,1100,1100,9608,123099
"LRE",0,300,215,108328,1464,11207,0,21534,7877,7006,100,0,0,500
"LRN",0,2200,500,109535,1100,22410,0,36997,22094,7347,0,900,1400,7660
"LRY",0,7442,600,268505,6000,22258,0,68349,46648,36763,1300,1000,6349,19132
"LSBI",0,0,0,200,0,0,0,0,0,0,0,0,0,0
"LSC",0,0,0,179,0,0,0,0,0,0,0,0,0,0
"LSCC",0,4167,1100,302532,8506,19713,0,0,60913,173349,600,1400,4489,70170
"LSE",0,10394,464,184406,7500,14460,0,59106,20568,31389,3500,1300,5847,20878
"LSG",1400,8167,0,75768,0,24133,0,0,4300,9750,0,0,400,200
"LSI",9915,30820,3400,1125972,129662,149950,1200,0,140198,402976,6250,16900,47729,200156
"LSTR",0,30378,900,59350,19500,28677,0,0,35232,36948,1600,600,2400,17142
"LTBR",0,0,0,4467,0,3721,0,0,500,2200,0,0,0,100
"LTC",0,1900,100,68312,800,5236,0,13864,4801,2660,0,495,1000,6249
"LTD",0,18991,100,290920,18617,65607,0,100523,44130,91562,2900,2300,5100,33944
"LTM",0,17100,0,317727,6700,100098,0,119561,84188,74313,1500,2400,1700,146073
"LTON",0,0,0,20937,0,1669,0,0,500,3731,0,0,0,200
"LTPZ",0,0,0,10056,0,900,0,0,12500,502,0,0,0,1000
"LTRE",0,0,0,600,0,0,0,0,0,300,0,0,0,0
"LTS",10651,1000,300,110586,1000,600,0,0,3172,2100,100,1700,2721,8525
"LTXC",0,700,100,11323,300,4280,0,0,3536,19002,200,0,100,5300
"LUB",0,0,0,3297,0,0,0,1400,3196,300,0,0,0,0
"LUK",0,7572,600,214364,11855,115226,0,88593,50958,54230,4200,1600,3900,21736
"LULU",0,102945,5400,2113988,62510,275593,0,0,370839,447438,300,200,31860,176975
"LUNA",0,0,0,7000,100,500,0,0,100,0,0,0,800,600
"LUV",0,79541,800,1710835,128726,224901,0,562260,167656,543589,13100,76800,70388,368893
"LUX",0,1300,300,9169,1200,300,0,2411,1050,0,0,0,0,100
"LVB",0,100,0,1233,0,0,0,1400,700,0,0,0,400,0
"LVL",0,0,0,26857,0,1100,0,0,3845,4200,0,0,0,2932
"LVLT",0,4620,100,257935,18144,44830,0,84667,32324,71272,2330,0,4270,31162
"LVNTA",0,2000,201,47578,300,3897,0,0,21927,4246,100,0,200,1200
"LVS",0,40388,1600,700858,22825,313700,0,85369,115308,143802,4800,14600,6440,112347
"LWAY",0,0,0,7669,0,0,0,0,300,2200,0,0,0,0
"LWC",0,500,0,86448,750,1100,0,0,4100,1000,1300,0,400,0
"LXFR",0,0,0,800,100,650,0,500,0,0,0,0,0,0
"LXK",0,150691,2300,1563407,87876,268224,0,352559,401725,346723,8900,11500,47520,318227
"LXP",0,22300,200,372359,23087,30188,0,171524,52467,40471,4000,200,6249,100636
"LXRX",0,10769,0,229242,13347,32630,0,0,26931,69132,2000,200,5153,46695
"LXU",0,9100,200,39444,3000,10614,0,35973,12789,8403,300,100,1400,3900
"LYB",0,16164,0,587361,34930,74574,0,102239,111350,166698,3100,3500,17759,61633
"LYG",0,76166,0,487491,24298,29308,0,49260,44951,24252,3043,6300,13102,46587
"LYTS",0,0,0,7637,0,500,0,0,200,800,0,0,0,100
"LYV",0,21800,400,1092056,9500,17975,0,97439,27359,58509,4100,900,4600,45102
"LZB",0,3100,0,36532,1564,3750,0,15019,14155,35345,1200,300,5625,3579
"M",0,56231,1600,695133,39147,164425,0,271942,126622,218525,5800,6427,9300,86821
"MA",0,10200,100,53545,3233,18870,0,13421,30609,13259,600,200,900,22377
"MAA",0,3200,0,22364,1200,1499,0,16298,4492,7394,900,700,2100,4954
"MAB",529,0,0,600,0,0,0,0,100,0,0,0,0,0
"MAC",0,7530,0,166931,3180,5805,0,27615,45139,19624,4000,1400,4900,13800
"MACK",0,4100,0,88667,1700,6600,0,0,5565,35589,0,0,900,5600
"MAGS",0,100,0,11958,100,6135,0,0,0,3300,100,0,100,600
"MAIN",0,1900,300,74708,800,10104,0,28898,10498,11513,200,100,300,3000
"MAKO",0,3500,900,243712,6400,40728,0,0,13900,73785,500,100,5000,18760
"MAN",0,8533,100,176508,2590,14600,0,43938,50815,37451,2400,200,7900,22725
"MANH",0,6500,0,39680,1200,2200,0,0,7700,16509,100,0,1927,8300
"MANT",0,1000,500,38167,5100,7107,0,0,9631,23382,100,0,600,4400
