;A;B;C;D;J;K;M;N;P;Q;W;X;Y;Z
AGU;0;4200;0;17479;3000;2640;0;30146;5599;700;700;0;800;1500
AGX;1074;100;0;300;0;0;0;0;200;0;0;0;0;200
AGYS;0;0;0;1123;100;1100;0;0;600;400;0;0;0;0
AH;0;2200;0;23788;2795;1861;0;21670;9767;5019;300;0;600;2600
AHC;0;100;0;400;0;100;0;1100;800;700;0;0;100;200
AHGP;0;0;0;400;0;0;0;0;0;0;0;0;0;100
AHL;0;1600;100;7400;200;162;0;6075;468;800;700;0;400;975
AHS;0;2680;100;3018;400;600;0;4867;3300;1600;400;200;500;800
AHT;0;3280;100;9000;1373;100;0;9699;2975;2297;300;100;500;2500
AI;0;3100;400;3600;600;500;0;10145;1600;10299;100;0;100;900
AIA;0;0;0;100;0;0;0;0;0;0;0;0;0;0
AIB;0;0;0;0;0;0;0;810;0;0;0;0;191;0
AIF;0;0;0;1300;0;0;0;0;0;0;0;0;0;0
AIG;0;119614;1000;671859;57232;76353;0;246260;81581;90006;3298;12200;21327;76843
AIMC;0;100;0;5456;0;0;0;0;500;2563;0;0;0;0
AIN;0;0;0;1300;0;0;0;3937;600;400;0;0;0;100
AINV;0;17017;100;44597;17321;6500;0;0;7914;83090;800;5200;10875;32724
AIQ;0;0;0;930;0;0;0;0;0;200;0;0;0;0
AIR;0;3800;100;5000;800;1500;0;2712;2335;2220;1100;100;700;1100
AIRM;0;1200;100;23001;710;4725;0;0;5778;38780;400;0;1125;2100
AIT;0;100;200;2425;0;400;0;3521;300;800;0;100;0;400
AIV;0;14228;100;13745;3318;3080;0;10846;2878;6214;4400;0;2300;7502
AIXG;0;600;100;7800;1200;500;0;0;400;1400;0;0;200;727
AIZ;0;1600;0;9500;1100;825;0;10364;1800;1605;100;0;1100;1991
AJG;0;3930;0;6919;700;100;0;8583;2600;800;300;1000;800;1288
AKAM;0;3527;100;46780;6381;3859;0;0;7938;35508;700;200;3400;20540
AKG;0;200;0;2400;200;300;0;0;200;0;0;100;0;300
AKP;0;0;0;0;0;100;0;481;0;0;0;0;0;0
