,Stock,A,B,C,D,J,K,M,N,P,Q,W,X,Y,Z,
236,AOI,0,0,0,0.103092784,0,0.103092784,0,0.206185567,0.206185567,0.381443299,0,0,0,0,1
237,AOL,0,0.115141048,0,0.347534063,0,0.057570524,0,0.326232969,0.095950873,0,0,0,0.057570524,0,1
238,AON,0,0.052556498,0,0.52323748,0,0.022524214,0,0.060064569,0.123883174,0.097604925,0.007508071,0.011262107,0.026278249,0.075080712,1
239,AOR,0,0.78021978,0,0,0,0,0,0,0,0,0,0,0.21978022,0,1
240,AOS,0,0.026961445,0,0.35858722,0,0.089727689,0,0.215691561,0.244324616,0.021569156,0.005392289,0,0.005392289,0.032353734,1
241,AOSL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
242,AP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
243,APA,0,0.021177062,0,0.560127431,0.010060362,0.051978538,0,0.139352783,0.095472837,0.059792086,0.006706908,0.013413816,0.003353454,0.038564722,1
244,APAM,0,0.064102564,0,0.448717949,0.064102564,0,0,0,0,0.294871795,0,0,0.064102564,0.064102564,1
245,APB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
