"exchange"	"symbol"	"x"
"1058"	"D"	"ETF"	2341
"1059"	"P"	"ETF"	2920
"1060"	"D"	"ETUB"	4870
"1061"	"P"	"ETUB"	2230
"1062"	"D"	"EVBN"	100
"1063"	"D"	"EVI"	5400
"1066"	"A"	"EVJ"	300
"1067"	"D"	"EVJ"	2044
"1068"	"P"	"EVJ"	300
"1069"	"Y"	"EVJ"	100
"1070"	"Z"	"EVJ"	939
"1071"	"A"	"EVK"	300
"1072"	"B"	"EVK"	100
"1073"	"D"	"EVK"	577
"1074"	"P"	"EVK"	123
"1075"	"Q"	"EVK"	400
"1080"	"D"	"EVM"	18555
"1081"	"K"	"EVM"	1800
"1082"	"P"	"EVM"	11000
"1083"	"Q"	"EVM"	883
"1084"	"W"	"EVM"	200
"1085"	"Z"	"EVM"	1900
"1086"	"A"	"EVO"	101
"1087"	"D"	"EVO"	603
"1088"	"K"	"EVO"	500
"1089"	"A"	"EVP"	600
"1090"	"D"	"EVP"	1800
"1091"	"K"	"EVP"	100
"1092"	"P"	"EVP"	300
"1093"	"Q"	"EVP"	800
"1094"	"Z"	"EVP"	100
"1110"	"A"	"EVV"	7910
"1111"	"B"	"EVV"	8219
"1112"	"C"	"EVV"	100
"1113"	"D"	"EVV"	125474
"1114"	"J"	"EVV"	2707
"1115"	"K"	"EVV"	10377
"1116"	"P"	"EVV"	4400
"1117"	"Q"	"EVV"	1100
"1118"	"W"	"EVV"	4630
"1119"	"X"	"EVV"	200
"1120"	"Y"	"EVV"	14024
"1121"	"Z"	"EVV"	8679
"1122"	"D"	"EVY"	2796
"1123"	"K"	"EVY"	2025
"1124"	"P"	"EVY"	348
"1125"	"Z"	"EVY"	252
"1126"	"D"	"EXE"	2700
"1139"	"A"	"FAX"	17311
"1140"	"B"	"FAX"	2400
"1141"	"C"	"FAX"	800
"1142"	"D"	"FAX"	405814
"1143"	"J"	"FAX"	3399
"1144"	"K"	"FAX"	18394
"1145"	"P"	"FAX"	27741
"1146"	"Q"	"FAX"	38183
"1147"	"W"	"FAX"	800
"1148"	"X"	"FAX"	1000
"1149"	"Y"	"FAX"	4223
"1150"	"Z"	"FAX"	11033
"1151"	"A"	"FCO"	209
"1152"	"D"	"FCO"	12241
"1153"	"P"	"FCO"	2600
"1154"	"Q"	"FCO"	1848
"1157"	"A"	"FEN"	1200
"1158"	"D"	"FEN"	23996
"1159"	"K"	"FEN"	3952
"1160"	"P"	"FEN"	2826
"1161"	"Q"	"FEN"	100
"1162"	"W"	"FEN"	100
"1163"	"X"	"FEN"	100
"1164"	"Y"	"FEN"	950
"1165"	"Z"	"FEN"	882
"1166"	"A"	"FPP"	666
"1167"	"D"	"FPP"	8003
"1168"	"J"	"FPP"	200
"1169"	"K"	"FPP"	220
"1170"	"P"	"FPP"	2000
"1171"	"Q"	"FPP"	2375
"1172"	"Y"	"FPP"	100
"1173"	"Z"	"FPP"	1400
"1176"	"D"	"FRD"	8142
"1177"	"K"	"FRD"	498
"1178"	"Q"	"FRD"	807
"1179"	"D"	"FRS"	1500
"1180"	"K"	"FRS"	200
"1181"	"P"	"FRS"	481
"1182"	"Q"	"FRS"	200
"1183"	"Y"	"FRS"	200
"1184"	"Z"	"FRS"	200
"1188"	"A"	"FSI"	100
"1189"	"B"	"FSI"	100
"1190"	"D"	"FSI"	9077
"1191"	"K"	"FSI"	1500
"1192"	"Q"	"FSI"	199
"1207"	"A"	"FSP"	13151
"1208"	"B"	"FSP"	2500
"1209"	"D"	"FSP"	53029
"1210"	"J"	"FSP"	1900
"1211"	"K"	"FSP"	27155
"1212"	"P"	"FSP"	7400
"1213"	"Q"	"FSP"	8706
"1214"	"W"	"FSP"	100
"1215"	"X"	"FSP"	200
"1216"	"Y"	"FSP"	1700
"1217"	"Z"	"FSP"	3700
"1225"	"A"	"FTF"	4972
"1226"	"D"	"FTF"	30085
"1227"	"K"	"FTF"	1796
"1228"	"P"	"FTF"	5117
"1229"	"Q"	"FTF"	3200
"1230"	"Y"	"FTF"	400
"1231"	"Z"	"FTF"	400
"1236"	"A"	"FU"	200
"1237"	"B"	"FU"	1283
"1238"	"D"	"FU"	15084
"1239"	"K"	"FU"	6047
"1240"	"P"	"FU"	1000
"1241"	"Q"	"FU"	4649
"1242"	"Z"	"FU"	500
"1243"	"A"	"GBR"	200
"1244"	"D"	"GBR"	4050
"1245"	"K"	"GBR"	400
"1261"	"A"	"GGN"	21118
"1262"	"B"	"GGN"	200
"1263"	"C"	"GGN"	1400
"1264"	"D"	"GGN"	534479
"1265"	"J"	"GGN"	2200
"1266"	"K"	"GGN"	45924
"1267"	"P"	"GGN"	28241
"1268"	"Q"	"GGN"	32947
"1269"	"W"	"GGN"	1000
"1270"	"X"	"GGN"	7019
"1271"	"Y"	"GGN"	2828
"1272"	"Z"	"GGN"	4242
"1278"	"A"	"GHM"	300
"1279"	"B"	"GHM"	100
"1280"	"C"	"GHM"	100
"1281"	"D"	"GHM"	2497
"1282"	"J"	"GHM"	100
"1283"	"K"	"GHM"	100
"1284"	"P"	"GHM"	1000
"1285"	"Z"	"GHM"	100
"1287"	"D"	"GIG"	16450
"1288"	"K"	"GIG"	500
"1289"	"P"	"GIG"	20600
"1297"	"A"	"GLO"	1100
"1298"	"C"	"GLO"	200
"1299"	"D"	"GLO"	49609
"1300"	"J"	"GLO"	411
"1301"	"K"	"GLO"	1466
"1302"	"P"	"GLO"	7946
"1303"	"Q"	"GLO"	5402
"1304"	"W"	"GLO"	400
"1305"	"Y"	"GLO"	500
"1306"	"Z"	"GLO"	1100
"1308"	"D"	"GLOW"	14143
"1314"	"A"	"GLQ"	400
"1315"	"D"	"GLQ"	11122
"1316"	"K"	"GLQ"	500
"1317"	"P"	"GLQ"	1475
"1318"	"Q"	"GLQ"	100
"1319"	"W"	"GLQ"	300
"1320"	"Z"	"GLQ"	100
"1325"	"A"	"GLU"	1300
"1326"	"D"	"GLU"	9681
"1327"	"J"	"GLU"	100
"1328"	"K"	"GLU"	200
"1329"	"P"	"GLU"	300
"1330"	"W"	"GLU"	100
"1333"	"A"	"GLV"	200
"1334"	"D"	"GLV"	6550
"1335"	"J"	"GLV"	100
"1336"	"K"	"GLV"	3776
"1337"	"P"	"GLV"	300
"1338"	"Q"	"GLV"	300
"1339"	"W"	"GLV"	100
"1340"	"Z"	"GLV"	100
